erodium cicutarium
erodium malacoides
eruca sativa
erysimum bicolor
erysimum caboverdeanum
erysimum scoparium
eschscholzia californica
euphorbia aphylla
euphorbia atropurpurea
euphorbia balsamifera
euphorbia canariensis
euphorbia exigua
euphorbia handiensis
euphorbia helioscopia
euphorbia hirta
euphorbia marginata
euphorbia paralias
euphorbia peplus
euphorbia piscatoria
euphorbia regis-jubae
euphorbia tirucalli
euphorbia tuckeyana
evolvulus alsinoides
fagonia albiflora
fagonia cretica
fallopia convolvulus
ferula lancerottensis
ferula linkii
festuca arundinacea
festuca rubra
ficus carica
filago minima
filago pygmaea
filipendula vulgaris
forsskaolea procridifolia
fragaria vesca
frankenia ericifolia
frankenia hirsuta
fuchsia boliviana
fuchsia magellanica
fumaria capreolata
fumaria coccinea
fumaria officinalis
fumaria vaillantii
furcraea foetida
galactites tomentosus
galinsoga parviflora
galinsoga quadriradiata
galium aparine
galium murale
galium palustre
galium rotundifolium
galium saxatile
galium tricornutum
gennaria diphylla
geranium canariense
geranium dissectum
geranium lucidum
geranium maderense
geranium molle
geranium palmatum
geranium purpureum
geranium robertianum
gesnouinia arborea
gladiolus italicus
glaucium corniculatum
glaucium flavum
glechoma hederacea
gleditsia triacanthos
globularia amygdalifolia
globularia salicina
globularia sarcophylla
glyceria fluitans
greenovia aurea
greenovia dodrantalis
grevillea robusta
grewia villosa
gunnera tinctoria
habenaria tridactylites
hedera canariensis
hedera helix
hedychium gardnerianum
helianthemum gorgoneum
helianthus annuus
helianthus tuberosus
helichrysum devium
helichrysum foetidum
helichrysum gossypinum
helichrysum melaleucum
helichrysum obconicum
heliotropium europaeum
heliotropium ramosissimum
hibiscus rosa-sinensis
holcus lanatus
holcus mollis
hordeum murinum
hydrangea macrophylla
hydrocotyle vulgaris
hylocereus undatus
hymenophyllum tunbrigense
hyoscyamus albus
hypericum canariense
hypericum glandulosum
hypericum grandifolium
hypericum humifusum
hypericum perforatum
hypericum reflexum
hypochaeris radicata
hypodematium crenatum
hypoestes verticillaris
ilex canariensis
illecebrum verticillatum
impatiens walleriana
indigofera tinctoria
ipomoea batatas
ipomoea cairica
ipomoea pes-caprae
ipomoea purpurea
isatis tinctoria
isolepis setacea
isoplexis canariensis
isoplexis chalcantha
isoplexis isabelliana
isoplexis sceptrum
jasminum azoricum
jasminum odoratissimum
jatropha curcas
jatropha gossypiifolia
juglans regia
juncus acutus
juncus articulatus
juncus bufonius
juncus bulbosus
juncus capitatus
juncus conglomeratus
juncus effusus
juncus inflexus
juncus maritimus
juncus tenuis
juniperus turbinata
kalanchoe fedtschenkoi
kickxia elatine
kickxia spuria
kleinia neriifolia
kochia scoparia
lactuca serriola
lactuca viminea
lagurus ovatus
lamarckia aurea
lamium amplexicaule
lamium purpureum
lantana camara
lantana montevidensis
lapsana communis
lastrea limbosperma
lathyrus aphaca
lathyrus cicera
lathyrus clymenum
lathyrus hirsutus
lathyrus japonicus
launaea arborescens
launaea gorgadensis
launaea picridioides
laurus azorica
laurus nobilis
lavandula buchii
lavandula minutolii
lavandula rotundifolia
lavandula stoechas
lavatera acerifolia
leersia oryzoides
legousia falcata
lemna gibba
lemna minor
lemna trisulca
lens culinaris
leontodon hispidus
lepidium campestre
lepidium ruderale
lepidium sativum
leptospermum scoparium
leucaena leucocephala
leucanthemum vulgare
leucosinapis alba
leycesteria formosa
ligustrum vulgare
limonium brassicifolium
limonium braunii
limonium brunneri
limonium papillatum
limonium pectinatum
limonium puberulum
limonium redivivum
limonium sinuatum
limonium spectabile
limonium sventenii
limonium tuberculatum
linum bienne
linum strictum
linum usitatissimum
lithospermum arvense
littorella uniflora
lobelia urens
lobularia maritima
lolium perenne
lolium temulentum
lonicera japonica
lophospermum erubescens
lotus angustissimus
lotus arinagensis
lotus corniculatus
lotus eremiticus
lotus lancerottensis
lotus maculatus
lotus pyranthus
lotus uliginosus
ludwigia octovalvis
lunaria annua
luzula campestris
luzula multiflora
luzula pilosa
lycium intricatum
lycopodiella cernua
lycopodiella inundata
lycopus europaeus
lysimachia nemorum
lythrum hyssopifolia
maclura pomifera
maireana brevifolia
majorana hortensis
malva alcea
malva neglecta
malva pusilla
malva sylvestris
marrubium vulgare
marsilea quadrifolia
matricaria recutita
matthiola maderensis
medicago arabica
medicago lupulina
medicago marina
medicago minima
medicago sativa
melia azedarach
melilotus albus
melissa officinalis
mentha aquatica
mentha longifolia
mercurialis annua
merremia aegyptia
mesembryanthemum crystallinum
mesembryanthemum nodiflorum
metrosideros excelsa
micromeria benthamii
micromeria forbesii
micromeria helianthemifolia
micromeria lanata
micromeria pineolens
micromeria varia
misopates orontium
moehringia trinervia
monanthes anagensis
monanthes laxiflora
monanthes polyphylla
monstera deliciosa
morus nigra
musa acuminata
muscari comosum
musschia wollastonii
myosotis arvensis
myosotis caespitosa
myosotis discolor
myosotis ramosissima
myrica faya
myriophyllum alterniflorum
myriophyllum aquaticum
myriophyllum spicatum
myrsine africana
myrtus communis
nardus stricta
nasturtium officinale
neatostema apulum
neochamaelea pulverulenta
neotinea maculata
nephrolepis undulata
nerium oleander
neurada procumbens
nicandra physalodes
nicotiana glauca
nigella damascena
notholaena marantae
nothoscordum gracile
notobasis syriaca
nymphaea alba
ocotea foetens
odontites holliana
oenothera biennis
oenothera glazioviana
oenothera rosea
olea europaea
ononis angustissima
ononis tournefortii
ophioglossum vulgatum
ophrys bombyliflora
opuntia ficus-indica
orchis canariensis
orchis scopulorum
origanum vulgare
ornithogalum nutans
orobanche hederae
orobanche lavandulacea
orobanche purpurea
orobanche ramosa
oryza sativa
osmunda regalis
osyris lanceolata
oxalis articulata
oxalis corniculata
oxalis debilis
oxalis latifolia
oxalis pes-caprae
pancratium maritimum
panicum capillare
panicum miliaceum
papaver argemone
papaver dubium
papaver rhoeas
papaver somniferum
parapholis incurva
paraserianthes lophantha
parentucellia latifolia
parentucellia viscosa
parietaria judaica
parkinsonia aculeata
parolinia glabriuscula
paronychia argentea
paronychia canariensis
parthenocissus tricuspidata
patellifolia patellaris
patellifolia procumbens
pelargonium peltatum
pellaea viridis
pericallis aurita
pericallis echinata
pericallis lanata
pericallis murrayi
pericallis papyracea
pericallis webbii
periploca chevalieri
periploca laevigata
persicaria capitata
persicaria hydropiper
persicaria lapathifolia
persicaria maculosa
persicaria serrulata
petrorhagia prolifera
petroselinum crispum
phagnalon melanoleucum
phagnalon rupestre
phagnalon saxatile
phalaris canariensis
phleum pratense
phlomis fruticosa
phoenix atlantica
phoenix canariensis
phoenix dactylifera
phormium tenax
phragmites australis
phyla nodiflora
phyllis nobla
phyllitis scolopendrium
physalis alkekengi
physalis peruviana
picris hieracioides
pinus canariensis
pinus halepensis
pistacia atlantica
pistacia lentiscus
pistia stratiotes
pisum sativum
pittosporum tobira
plantago afra
plantago albicans
plantago arborescens
plantago coronopus
plantago lanceolata
plantago leiopetala
plantago major
plantago ovata
plantago webbii
plocama pendula
plumbago auriculata
poa annua
poa bulbosa
poa pratensis
poa trivialis
polycarpaea aristata
polycarpaea nivea
polygala serpyllifolia
polygala vulgaris
polygonum arenastrum
polygonum equisetiforme
polygonum maritimum
polypodium macaronesicum
polystichum aculeatum
polystichum falcinellum
populus alba
portulaca oleracea
potamogeton lucens
potamogeton nodosus
potamogeton polygonifolius
potamogeton trichoides
potentilla erecta
potentilla reptans
prasium majus
prunella vulgaris
prunus dulcis
pseudognaphalium luteoalbum
psidium cattleianum
psidium guajava
psilotum nudum
pteridium aquilinum
pteris vittata
pterocephalus dumetorum
pterocephalus lasiospermus
pterocephalus virens
pulegium vulgare
pulicaria canariensis
punica granatum
pyrostegia venusta
quercus ilex
quercus robur
quercus suber
radiola linoides
ranunculus arvensis
ranunculus cortusifolius
ranunculus flammula
ranunculus muricatus
ranunculus ophioglossifolius
ranunculus repens
reichardia ligulata
reichardia tingitana
reseda lutea
reseda luteola
retama raetam
rhamnus alaternus
rhus coriaria
ricinus communis
robinia pseudacacia
romulea grandiscapa
rosa canina
rosmarinus officinalis
rubia peregrina
rubus ulmifolius
rumex acetosella
rumex conglomeratus
rumex crispus
rumex lunaria
rumex obtusifolius
ruscus aculeatus
ruscus hypoglossum
russelia equisetiformis
ruta chalepensis
ruta graveolens
ruta oreojasme
saccharum officinarum
sagina procumbens
salix euxina
salsola vermiculata
salvia broussonetii
salvia canariensis
salvia coccinea
salvia verbenaca
salvinia natans
sambucus nigra
samolus valerandi
sanguisorba minor
sarcocornia fruticosa
sarcocornia perennis
sarcostemma daltonii
saxifraga maderensis
scandix pecten-veneris
schizogyne glaberrima
schizogyne sericea
scilla haemorrhoidalis
scilla peruviana
scirpoides holoschoenus
scleranthus annuus
scolymus hispanicus
scolymus maculatus
scorpiurus muricatus
scrophularia calliantha
scrophularia glabrata
sechium edule
sedum farinosum
selaginella denticulata
selaginella selaginoides
semele androgyna
senecio aquaticus
senecio elegans
senecio hermosae
senecio leucanthemifolius
senecio sylvaticus
senecio vulgaris
senna bicapsularis
senna didymobotrya
senna italica
senna obtusifolia
serapias parviflora
sesleria caerulea
sesuvium portulacastrum
setaria pumila
setaria verticillata
setaria viridis
sherardia arvensis
sibthorpia peregrina
sideritis candicans
sideritis dasygnaphala
sideritis discolor
sideritis macrostachys
sideroxylon marginatum
silene colorata
silene conica
silene gallica
silene nutans
silene uniflora
silene vulgaris
silybum marianum
sinapidendron frutescens
sinapis arvensis
sisymbrium officinale
smilax aspera
solandra maxima
solanum lidii
solanum linnaeanum
solanum lycopersicum
solanum marginatum
solanum mauritianum
solanum nigrum
solanum vespertilio
solidago gigantea
sonchus acaulis
sonchus asper
sonchus fruticosus
sonchus hierrensis
sonchus oleraceus
sonchus platylepis
sorbus aria
sparaxis bulbifera
spartium junceum
spergularia fimbriata
spergularia maritima
spergularia salina
stachys germanica
stachys ocymastrum
stellaria alsine
stellaria media
stellaria pallida
striga gesnerioides
suaeda monoica
suaeda vera
suaeda vermiculata
symphyotrichum laeve
symphyotrichum lanceolatum
symphyotrichum squamatum
tagetes patula
tamarindus indica
tamarix africana
tamarix canariensis
tamus edulis
taraxacum sect
taxus baccata
tecoma capensis
teline canariensis
teline maderensis
teline nervosa
terminalia catappa
teucrium betonicum
teucrium heterophyllum
teucrium scorodonia
theligonum cynocrambe
thelypteris dentata
thlaspi arvense
thymus caespititius
thymus vulgaris
tolpis barbata
tolpis macrorhiza
torilis arvensis
tornabenea bischoffii
tornabenea humilis
tornabenea tenuissima
trachelium caeruleum
traganum moquinii
tragopogon hybridus
tragopogon porrifolius
tribulus cistoides
tribulus terrestris
trichomanes speciosum
tridax procumbens
trifolium arvense
trifolium aureum
trifolium campestre
trifolium dubium
trifolium fragiferum
trifolium incarnatum
trifolium pratense
trifolium repens
trifolium resupinatum
trifolium stellatum
trifolium striatum
trigonella stellata
tripleurospermum inodorum
triticum aestivum
triumfetta rhomboidea
tropaeolum majus
tuberaria guttata
tuberaria lignosa
typha domingensis
ulex europaeus
ulmus minor
umbilicus heylandianus
umbilicus horizontalis
umbilicus rupestris
umbilicus schmidtii
