abies fraseri
cryptogramma crispa
cuscuta epithymum
cuscuta europaea
cycloloma atriplicifolium
cynara cardunculus
cynodon dactylon
cynoglossum officinale
cyperus eragrostis
cyperus flavescens
cyperus fuscus
cyperus rotundus
cypripedium acaule
cypripedium parviflorum
cyrilla racemiflora
cyrtomium falcatum
cystopteris bulbifera
cystopteris fragilis
cytisus scoparius
dactylis glomerata
dactylis polygama
dalea candida
dalea purpurea
datura stramonium
daucus carota
descurainia sophia
deschampsia cespitosa
desmodium incanum
dianthus armeria
dianthus barbatus
dianthus deltoides
diapensia lapponica
dicentra formosa
diervilla lonicera
dieteria canescens
digitalis grandiflora
digitalis lanata
digitalis purpurea
digitaria sanguinalis
diphasiastrum alpinum
diphasiastrum complanatum
diphasiastrum issleri
diphasiastrum tristachyum
diphasiastrum zeilleri
diplotaxis muralis
diplotaxis tenuifolia
dipsacus fullonum
dipsacus laciniatus
dittrichia viscosa
dodonaea viscosa
draba fladnizensis
draba nemorosa
dracunculus vulgaris
drosera anglica
drosera intermedia
drosera rotundifolia
dryopteris cristata
dryopteris filix-mas
echinocystis lobata
echinochloa crus-galli
echinops sphaerocephalus
echium plantagineum
echium vulgare
eichhornia crassipes
eleocharis acicularis
eleocharis ovata
eleocharis palustris
eleocharis quinqueflora
eleusine indica
elodea canadensis
elyna myosuroides
elytrigia intermedia
elytrigia repens
emilia fosbergii
empetrum hermaphroditum
empetrum nigrum
epilobium anagallidifolium
epilobium angustifolium
epilobium ciliatum
epilobium hirsutum
epilobium palustre
epilobium parviflorum
epipactis helleborine
equisetum arvense
equisetum fluviatile
equisetum hyemale
equisetum palustre
equisetum pratense
equisetum ramosissimum
equisetum sylvaticum
equisetum variegatum
eragrostis minor
eranthis hyemalis
erechtites hieraciifolius
erica cinerea
ericameria nauseosa
erigeron annuus
erigeron caespitosus
erigeron glabellus
eriobotrya japonica
eriogonum flavum
eriogonum umbellatum
eriophorum angustifolium
eriophorum gracile
eriophorum vaginatum
eriophorum viridicarinatum
erodium ciconium
erodium cicutarium
erodium malacoides
erophila verna
eruca sativa
erucastrum gallicum
eryngium campestre
eryngium maritimum
erysimum durum
erysimum hieraciifolium
erysimum cheiranthoides
erysimum repandum
eschscholzia californica
eupatorium cannabinum
euphorbia cyathophora
euphorbia cyparissias
euphorbia esula
euphorbia exigua
euphorbia falcata
euphorbia helioscopia
euphorbia hirta
euphorbia lucida
euphorbia marginata
euphorbia myrsinites
euphorbia peplus
euphorbia platyphyllos
euphrasia stricta
eurybia conspicua
evolvulus alsinoides
fagopyrum esculentum
falcaria vulgaris
fallopia aubertii
fallopia convolvulus
fallopia dumetorum
festuca arundinacea
festuca brevipila
festuca gigantea
festuca ovina
festuca pratensis
festuca rubra
ficaria verna
filago vulgaris
filipendula ulmaria
filipendula vulgaris
fragaria vesca
fragaria virginiana
fraxinus excelsior
fumaria capreolata
fumaria officinalis
fumaria vaillantii
gaillardia aristata
galega officinalis
galeopsis angustifolia
galeopsis bifida
galeopsis ladanum
galeopsis speciosa
galeopsis tetrahit
galinsoga parviflora
galinsoga quadriradiata
galium 
galium aparine
galium boreale
galium murale
galium odoratum
galium palustre
galium saxatile
galium spurium
galium sylvaticum
galium tricornutum
galium trifidum
galium triflorum
galium verum
gaura coccinea
gentiana affinis
geocaulon lividum
geranium bicknellii
geranium columbinum
geranium dissectum
geranium lucidum
geranium molle
geranium purpureum
geranium pusillum
geranium richardsonii
geranium robertianum
geranium sylvaticum
geranium viscosissimum
geum rivale
geum triflorum
geum urbanum
gladiolus dalenii
glandularia bipinnatifida
glaucium corniculatum
glaucium flavum
gleditsia triacanthos
glechoma hederacea
glyceria fluitans
glyceria maxima
glycyrrhiza lepidota
gnaphalium norvegicum
gnaphalium sylvaticum
gnaphalium uliginosum
goodyera oblongifolia
goodyera repens
grindelia squarrosa
gutierrezia sarothrae
gymnocarpium dryopteris
gymnocarpium robertianum
gymnocladus dioicus
gypsophila muralis
habranthus tubispathus
halesia tetraptera
hammarbya paludosa
harrimanella hypnoides
hedysarum alpinum
hedysarum boreale
heleochloa alopecuroides
heleochloa schoenoides
helianthus annuus
helianthus maximiliani
helianthus nuttallii
helianthus tuberosus
helleborus viridis
hemerocallis fulva
heracleum lanatum
heracleum sphondylium
herniaria glabra
herniaria hirsuta
hesperis matronalis
heterotheca villosa
hibiscus trionum
hieracium aurantiacum
hieracium caespitosum
hieracium flagellare
hieracium laevigatum
hieracium lachenalii
hieracium murorum
hieracium pilosella
hieracium piloselloides
hieracium sabaudum
hieracium umbellatum
hierochloe odorata
hippocrepis comosa
hippuris vulgaris
holcus lanatus
holcus mollis
holosteum umbellatum
hordeum geniculatum
hordeum jubatum
hordeum murinum
humulus lupulus
hydrangea paniculata
hydrastis canadensis
hydrocotyle umbellata
hydrocotyle verticillata
hydrocharis morsus-ranae
hylotelephium telephium
hymenophyllum tunbrigense
hyoscyamus albus
hyoscyamus niger
hypecoum imberbe
hypericum humifusum
hypericum perforatum
hypochaeris radicata
hyssopus officinalis
chaerophyllum temulum
chamaebatiaria millefolium
chamaecrista nictitans
chamaecyparis lawsoniana
chelidonium majus
chenopodium album
chenopodium bonus-henricus
chenopodium botrys
chenopodium capitatum
chenopodium ficifolium
chenopodium glaucum
chenopodium chenopodioides
chenopodium murale
chenopodium polyspermum
chenopodium pumilio
chenopodium rubrum
chenopodium strictum
chenopodium suecicum
chenopodium urbicum
chenopodium vulvaria
chimaphila umbellata
chondrilla juncea
chrysanthemum coronarium
impatiens balfourii
impatiens noli-tangere
impatiens parviflora
ipomoea aquatica
ipomoea cairica
ipomoea pes-caprae
ipomoea purpurea
ipomoea quamoclit
iris fulva
iris pseudacorus
isatis tinctoria
isoetes echinospora
isoetes lacustris
isolepis setacea
iva xanthiifolia
jasione montana
jeffersonia diphylla
juglans nigra
juncus acutus
juncus alpinoarticulatus
juncus arcticus
juncus articulatus
juncus bufonius
juncus capitatus
juncus castaneus
juncus conglomeratus
juncus effusus
juncus filiformis
juncus gerardii
juncus inflexus
juncus maritimus
juncus mertensianus
juncus sphaerocarpus
juncus subnodulosus
juncus tenuis
juncus trifidus
juncus triglumis
juniperus horizontalis
juniperus scopulorum
kalanchoe delagoensis
kickxia elatine
kickxia spuria
knautia arvensis
koeleria macrantha
kochia prostrata
kochia scoparia
laburnum anagyroides
lactuca serriola
lactuca tatarica
lagurus ovatus
lamarckia aurea
lamium album
lamium amplexicaule
lamium maculatum
lamium purpureum
lantana camara
lantana montevidensis
lappula squarrosa
lapsana communis
lastrea limbosperma
lathyrus cicera
lathyrus hirsutus
lathyrus japonicus
lathyrus latifolius
lathyrus palustris
lathyrus pratensis
lathyrus sylvestris
ledum groenlandicum
leersia oryzoides
lemna gibba
lemna minor
lemna trisulca
lemna turionifera
leontodon autumnalis
leontodon hispidus
leonurus cardiaca
leonurus marrubiastrum
lepidium campestre
lepidium densiflorum
lepidium perfoliatum
lepidium ruderale
lepidium sativum
leucaena leucocephala
leucanthemum vulgare
levisticum officinale
leymus mollis
liatris punctata
ligustrum lucidum
ligustrum ovalifolium
ligustrum vulgare
lilium philadelphicum
limonium sinuatum
limosella aquatica
linaria vulgaris
lindernia procumbens
linnaea borealis
linum bienne
linum catharticum
linum usitatissimum
liparis loeselii
liquidambar styraciflua
liriodendron tulipifera
listera ovata
lithospermum arvense
lithospermum incisum
lithospermum officinale
lithospermum ruderale
lloydia serotina
lobelia dortmanna
lobularia maritima
loiseleuria procumbens
lolium perenne
lolium temulentum
lonicera caerulea
lonicera japonica
lonicera ledebourii
lonicera maackii
lonicera periclymenum
lotus angustissimus
lotus corniculatus
lotus tenuis
lotus uliginosus
ludwigia octovalvis
lunaria annua
lunaria rediviva
lupinus polyphyllus
luzula campestris
luzula luzuloides
luzula multiflora
luzula pallescens
luzula spicata
lycium barbarum
lycopodiella cernua
lycopodiella inundata
lycopodium annotinum
lycopodium clavatum
lycopsis arvensis
lycopus europaeus
lygodesmia juncea
lychnis coronaria
lychnis flos-cuculi
lychnis chalcedonica
lysimachia ciliata
lysimachia nummularia
lysimachia punctata
lysimachia thyrsiflora
lysimachia vulgaris
lythrum hyssopifolia
lythrum salicaria
lythrum tribracteatum
lythrum virgatum
maclura pomifera
magnolia acuminata
magnolia grandiflora
mahonia aquifolium
maianthemum canadense
maianthemum stellatum
malaxis monophyllos
malus domestica
malva alcea
malva moschata
malva neglecta
malva pusilla
malva sylvestris
marrubium vulgare
marsilea quadrifolia
matricaria discoidea
matricaria recutita
matteuccia struthiopteris
medicago 
medicago arabica
medicago falcata
medicago lupulina
medicago minima
medicago sativa
melaleuca quinquenervia
melica altissima
melilotus albus
melilotus altissimus
melilotus officinalis
melissa officinalis
mentha 
mentha aquatica
mentha longifolia
menyanthes trifoliata
mercurialis annua
mertensia maritima
mertensia paniculata
mesembryanthemum crystallinum
mesembryanthemum nodiflorum
microrrhinum minus
milium effusum
mimulus guttatus
mirabilis linearis
mitella nuda
monarda fistulosa
moneses uniflora
monotropa hypopitys
monotropa uniflora
montia arvensis
montia fontana
montia hallii
musineon divaricatum
myagrum perfoliatum
mycelis muralis
myosotis arvensis
myosotis discolor
myosotis stricta
myosotis sylvatica
myosoton aquaticum
myriophyllum alterniflorum
myriophyllum aquaticum
myriophyllum hippuroides
myriophyllum spicatum
myriophyllum verticillatum
najas marina
najas minor
narcissus pseudonarcissus
narcissus tazetta
nardus stricta
nasturtium officinale
nepeta cataria
nepeta racemosa
nephrophyllidium crista-galli
neslia paniculata
nicandra physalodes
nicotiana rustica
nigella damascena
nothoscordum gracile
nuphar lutea
nuphar pumila
nymphoides peltata
ocimum basilicum
odontites vernus
oenanthe aquatica
oenothera biennis
oenothera glazioviana
ononis arvensis
ononis spinosa
onopordum acanthium
onosmodium bejariense
ophioglossum vulgatum
oplopanax horridus
opuntia ficus-indica
opuntia fragilis
ornithogalum nutans
orobanche hederae
orobanche ramosa
orthilia secunda
oryza sativa
osmunda regalis
oxalis corniculata
oxalis dillenii
oxalis fontana
oxalis latifolia
oxalis pes-caprae
oxalis radicosa
oxybaphus nyctagineus
oxycoccus macrocarpus
oxycoccus microcarpus
oxycoccus palustris
oxytropis splendens
pandanus utilis
panicum capillare
panicum miliaceum
papaver dubium
papaver rhoeas
parapholis incurva
parentucellia latifolia
parentucellia viscosa
parietaria judaica
parietaria officinalis
parkinsonia aculeata
paronychia sessiliflora
parthenocissus inserta
parthenocissus quinquefolia
pastinaca sativa
pedicularis palustris
pedicularis sudetica
pedicularis verticillata
peganum harmala
penstemon nitidus
penstemon procerus
persicaria alpina
persicaria amphibia
persicaria capitata
persicaria hydropiper
persicaria lapathifolia
persicaria maculosa
persicaria minor
petrorhagia prolifera
phacelia hastata
phacelia tanacetifolia
phalaris arundinacea
phalaris canariensis
phegopteris connectilis
philadelphus coronarius
phleum pratense
phoenix dactylifera
phragmites australis
phyla nodiflora
physalis alkekengi
physocarpus opulifolius
picea abies
picea mariana
picris hieracioides
pinellia ternata
pinguicula vulgaris
pinus aristata
pinus attenuata
pinus banksiana
pinus halepensis
pinus jeffreyi
pinus nigra
pinus pungens
pinus rigida
pinus strobus
pinus sylvestris
pistia stratiotes
pisum sativum
plantago coronopus
plantago lanceolata
plantago major
plantago media
platanthera dilatata
platanthera hyperborea
platanthera orbiculata
poa angustifolia
poa annua
poa bulbosa
poa compressa
poa nemoralis
poa palustris
poa pratensis
poa trivialis
