tsuga heterophylla
typha domingensis
typha latifolia
ulex europaeus
umbilicus horizontalis
urtica urens
vaccaria hispanica
verbascum thapsus
verbena rigida
veronica anagallis-aquatica
veronica arvensis
veronica chamaedrys
veronica polita
veronica scutellata
veronica serpyllifolia
vicia cracca
vicia tetrasperma
vinca minor
viola cunninghamii
zannichellia palustris
zantedeschia aethiopica
