abutilon mauritianum
acacia abyssinica
acacia karroo
acacia mangium
acacia mearnsii
acacia retinodes
acacia sarcophylla
acanthus arboreus
acanthus polystachyus
acridocarpus socotranus
actiniopteris semiflabellata
adansonia digitata
adenium obesum
adenium obesum subsp. socotranum
adiantum balfourii
adiantum capillus-veneris
adiantum hispidulum
adiantum incisum
adiantum philippense
aeonium leucoblepharum
aerva javanica
aerva revoluta
afzelia quanzensis
agapanthus praecox
agarista salicifolia
agave americana
ageratina adenophora
agrimonia eupatoria
agrocharis melanantha
achyranthes aspera
aira caryophyllea
aizoon canariense
ajuga integrifolia
albizia lebbeck
aldrovanda vesiculosa
alchemilla pedata
alkanna orientalis
allium spathaceum
aloe arborescens
aloe debrana
aloe ferox
aloe monticola
aloe pendens
aloe perryi
aloe pulcherrima
aloe rubroviolacea
aloe steudneri
aloe vacillans
aloe vera
aloe zebrina
alternanthera pungens
amaranthus caudatus
amaranthus lividus
amphilophium crucigerum
anacardium occidentale
anagallis arvensis
andrachne telephioides
anchusa affinis
anisotes diversifolius
annona reticulata
anthemis tigrensis
anthoxanthum odoratum
anthriscus sylvestris
anthrophyum boryanum
anthyllis vulneraria
antigonon leptopus
aphloia theiformis
apium graveolens
aptenia cordifolia
arabidopsis thaliana
arabis alpina
arabis auriculata
araujia sericifera
arctotheca populifolia
argemone ochroleuca
aristea ecklonii
arthrocnemum macrostachyum
arthropteris orientalis
arundo donax
asclepias curassavica
asparagus aethiopicus
asplenium adiantum-nigrum
asplenium anisophyllum
asplenium anisophyllum var. boltonii
asplenium flaccidum
asplenium nidus
asplenium praemorsum
asplenium trichomanes
asplenium unilaterale
astragalus atropilosulus
asystasia gangetica
athyrium filix-femina
atriplex halimus
atriplex patula
atriplex portulacoides
avena fatua
averrhoa bilimbi
averrhoa carambola
avicennia germinans
avicennia marina
baccharoides filigera
baccharoides schimperi
bacopa monnieri
ballochia atrovirgata
ballochia rotundifolia
ballota africana
barleria bispinosa
barleria prionitis
barleria prionitis subsp. appressa
barleria repens
barleria tetracantha
barleria ventricosa
barringtonia asiatica
bartsia decurva
bartsia trixago
batrachium rionii
batrachium trichophyllum
bauhinia galpinii
berkheya macrocephala
bidens macroptera
bidens pachyloma
blechnum capense
blechnum punctulatum
blepharis ciliaris
boerhavia coccinea
boerhavia plumbaginea
bolboschoenus maritimus
bombax ceiba
boswellia ameero
boswellia elongata
boswellia papyrifera
bowkeria cymosa
brillantaisia owariensis
briza maxima
bromus secalinus
brucea antidysenterica
bruguiera gymnorhiza
buddleja polystachya
bulbine capitata
bulbine frutescens
burchellia bubalina
buxus hildebrandtii
caesalpinia bonduc
caesalpinia decapetala
caesalpinia pulcherrima
calamagrostis epigejos
calanthe sylvatica
callitriche hedbergiorum
calodendrum capense
calotropis gigantea
calotropis procera
calystegia sepium
calystegia soldanella
camellia sinensis
campanula edulis
campylanthus spinosus
capparis mucronifolia
capparis spinosa
capparis tomentosa
caralluma quadrangula
caralluma socotrana
caralluma speciosa
cardamine hirsuta
cardaria draba
cardiospermum grandiflorum
carduus macracanthus
carduus nyassanus
carduus schimperi
carex acutiformis
carex conferta
carex monostachya
carica papaya
carissa spinarum
carthamus tinctorius
cascabela thevetia
cassia fistula
cassytha filiformis
casuarina cunninghamiana
catha edulis
celosia argentea
centaurea solstitialis
centaurothamnus maximus
cephalocrotonopsis socotranus
cerastium afromontanum
cerastium holosteoides
cerastium octandrum
ceratophyllum demersum
ceratophyllum submersum
ceratopteris cornuta
ceratopteris incisa
ceriops tagal
cicer arietinum
cichorium bottae
cineraria abyssinica
cineraria sebaldii
cinnamomum verum
cirsium vulgare
cissus hamaderohensis
cissus paniculata
cissus quadranguaris
cissus quadrangularis
cissus rotundifolia
cissus subaphylla
cistanche phelypaea
citrullus lanatus
cladium mariscus
clematis hirsuta
clematis simensis
clidemia hirta
clinopodium simense
clitoria ternatea
clutia abyssinica
cnicus benedictus
coccinia grandis
cocculus balfouri
cocculus balfourii
cocos nucifera
codiaeum variegatum
coffea arabica
colocasia esculenta
colutea abyssinica
combretum kraussii
combretum molle
cometes surattensis
commelina africana
commiphora ornifolia
commiphora planifrons
conium maculatum
conocarpus erectus
convolvulus arvensis
convolvulus filipes
conyza vernonioides
cordia africana
cordia sebestena
corchorus depressus
corchorus erodioides
coronopus squamatus
cotula abyssinica
cotula coronopifolia
cotula hispida
cotyledon barbeyi
cotyledon orbiculata
crambe abyssinica
crassula multicava
craterostigma pumilum
crotalaria retusa
crotalaria socotrana
croton socotranus
crypsis aculeata
cryptolepis socotrana
cuscuta approximata
cuscuta epithymum
cussonia spicata
cyathea capensis
cyathea dregei
cynodon dactylon
cynoglossum amplifolium
cynoglossum coeruleum
cyperus flavescens
cyperus longus
cyperus rotundus
cyrtanthus mackenii
cyrtomium falcatum
cystopteris fragilis
cystostemon socotranum
daemia tomentosa
datura stramonium
daucus carota
delosperma harazianum
delosperma schimperi
delphinium dasycaulon
dendrosicyos socotrana
descurainia sophia
deschampsia cespitosa
desmodium incanum
dianthoseris schimperi
diascia vigilis
dicoma anomala
dicranopteris linearis
dietes iridioides
digitaria sanguinalis
dichrocephala chrysanthemifolia
diospyros dichrophylla
dipsacus pinnatifidus
dirichletia obovata
dodonaea viscosa
dodonaea viscosa subsp. angustifolia
dombeya torrida
dorstenia gigas
dracaena cinnabari
dyerophytum pendulum
dyschoriste radicans
edithcolea grandis
echinochloa crus-galli
echinops longisetus
echinops spinosissimus
eichhornia crassipes
elaeis guineensis
elaphoglossum hybridum
eleocharis dulcis
eleusine coracana
eleusine indica
emilia coccinea
encephalartos friderici-guilielmi
encephalartos horridus
enterolobium cyclocarpum
ephedra pachyclada
ephedra pachyclada subsp. sinaica
epilobium hirsutum
equisetum ramosissimum
eragrostis minor
eragrostis tef
eremobium aegyptiacum
erica aestiva
erica albospicata
erica algida
erica arborea
erica cerinthoides
erica drakensbergensis
erica oatesii
erica silvatica
erica woodii
erigeron alpinus
erigeron karvinskianus
erodium cicutarium
erodium malacoides
erophila verna
erophila verna subsp. macrosperma
eruca sativa
eryngium campestre
eulophia livingstoneana
euphorbia abyssinica
euphorbia ammak
euphorbia arbuscula
euphorbia balsamifera
euphorbia cactus
euphorbia cyathophora
euphorbia hirta
euphorbia mauritanica
euphorbia schimperi
euphorbia schimperiana
euphorbia socotrana
euphorbia spiralis
euphorbia tirucalli
euphorbia tithymaloides
euryops arabicus
euryops pinifolius
evolvulus alsinoides
exacum affine
exacum caeruleum
fagonia cretica
felicia abyssinica
felicia dentata
ferula communis
festuca abyssinica
festuca macrophylla
ficus benghalensis
ficus religiosa
forsskaolea tenacissima
fragaria vesca
freesia laxa
fuchsia magellanica
galium aparine
geranium arabicum
geranium favosum
geranium magniflorum
geranium robertianum
gerbera piloselloides
gladiolus abyssinicus
gladiolus dalenii
gleichenia polypodioides
gleichenia umbraculifera
gnaphalium unionis
gnidia socotrana
gomphocarpus cancellatus
gomphocarpus fruticosus
gomphocarpus fruticosus subsp. flavidus
gomphocarpus physocarpus
gomphocarpus sinaicus
grevillea robusta
grewia erythraea
grewia occidentalis
grewia schweinfurthii
grewia tembensis
grewia villosa
guizotia abyssinica
guizotia scabra
gymnarrhena micrantha
gymnosporia parviflora
hagenia abyssinica
halleria lucida
haplocarpha rueppellii
haplocarpha schimperi
haya obovata
hebenstretia angolensis
hedbergia abyssinica
hedychium gardnerianum
helianthus annuus
helictotrichon elongatum
helichrysum aciculare
helichrysum adenocarpum
helichrysum citrispinum
helichrysum formosissimum
helichrysum forskahlii
helichrysum marginatum
helichrysum milfordiae
helichrysum rosulatum
heliotropium balfourii
heliotropium longiflorum
heliotropium sokotranum
heracleum abyssinicum
hesperantha petitiana
hesperantha scopulosa
heterotis rotundifolia
hibiscus calyphyllus
hibiscus crassinervius
hibiscus deflersii
hibiscus dongolensis
hibiscus macranthus
